epoch 0387 | train 3.190377 | val 1.972497 | lr 3.13e-09
epoch 0388 | train 3.559995 | val 1.907852 | lr 3.13e-09
epoch 0389 | train 3.166977 | val 1.963999 | lr 3.13e-09
epoch 0390 | train 3.251768 | val 1.946902 | lr 3.13e-09
epoch 0391 | train 3.481805 | val 1.930909 | lr 3.13e-09
epoch 0392 | train 3.288219 | val 1.960203 | lr 3.13e-09
epoch 0393 | train 3.671181 | val 1.904725 | lr 3.13e-09
epoch 0394 | train 3.495583 | val 1.933924 | lr 3.13e-09
epoch 0395 | train 3.253739 | val 1.936054 | lr 3.13e-09
epoch 0396 | train 3.399225 | val 1.963678 | lr 3.13e-09
epoch 0397 | train 3.730014 | val 1.924718 | lr 3.13e-09
epoch 0398 | train 3.702405 | val 1.956772 | lr 3.13e-09
epoch 0399 | train 3.439880 | val 1.938768 | lr 3.13e-09
epoch 0400 | train 3.933860 | val 1.951394 | lr 3.13e-09
saved checkpoints\ckpt_epoch0400.pt
